plot_id,lon,lat,certainty
29.02,-51.38480319,64.13200612,certain
29.03,-51.38477388,64.13201811,certain
29.04,-51.38474284,64.13202976,certain
29.05,-51.38471226,64.13204215,certain
29.06,-51.38451533,64.13211903,certain
29.07,-51.38448642,64.13213151,certain
29.08,-51.38442538,64.13215555,likely
29.09,-51.38439487,64.13216758,likely
30,-51.38436647,64.13217877,certain
31,-51.38400997,64.13233575,certain
31.01,-51.38397995,64.13234901,certain
31.02,-51.38395073,64.13236135,certain
31.03,-51.3839233,64.13237446,certain
31.04,-51.38389658,64.1323881,likely
31.05,-51.38386649,64.13240064,certain
31.06,-51.38383866,64.13241396,certain
31.07,-51.38381434,64.13242794,certain
31.08,-51.38378435,64.13243991,likely
31.09,-51.38375637,64.13245283,likely
31.1,-51.38389607,64.13241358,certain
32,-51.38372443,64.13246757,likely
33,-51.38341348,64.13261112,certain
33.01,-51.38338723,64.13262369,certain
33.02,-51.38335824,64.13263691,certain
33.03,-51.38333296,64.13264941,certain
33.04,-51.38330362,64.13266226,certain
33.05,-51.3832788,64.13267688,certain
33.06,-51.38324456,64.13268735,certain
33.07,-51.38321809,64.13270172,certain
33.08,-51.38333718,64.1326724,certain
33.09,-51.38337097,64.13268231,certain
33.1,-51.38327353,64.13265202,certain
34,-51.38320341,64.13270839,certain
34.01,-51.38317557,64.13272149,certain
34.02,-51.38314544,64.13273382,likely
34.03,-51.38311647,64.13274653,likely
34.04,-51.38308754,64.13275922,likely
34.05,-51.38305855,64.13277194,likely
34.06,-51.38296613,64.13281248,likely
34.07,-51.38293714,64.1328252,likely
34.08,-51.38287917,64.13285064,likely
34.09,-51.38284944,64.13286368,likely
35,-51.38282119,64.13287607,certain
35.01,-51.38279339,64.13288929,likely
35.02,-51.38277225,64.13289935,certain
35.03,-51.38280322,64.13290939,certain
35.04,-51.38283346,64.13292026,certain
35.05,-51.3828657,64.13293127,likely
35.06,-51.38289808,64.13294233,likely
35.07,-51.38293034,64.13295335,likely
35.08,-51.38296255,64.13296435,likely
35.09,-51.38299485,64.13297539,likely
35.1,-51.38273981,64.13288826,likely
36,-51.38274224,64.13291362,certain
36.01,-51.38267601,64.13294021,certain
36.02,-51.38265242,64.13295489,certain
36.03,-51.38270212,64.13295662,certain
36.04,-51.38265521,64.13292715,likely
37,-51.38262558,64.13296879,certain
37.01,-51.38261232,64.1329752,likely
37.02,-51.38258468,64.13298854,certain
37.03,-51.38262984,64.13299351,likely
37.04,-51.38256884,64.13296946,likely
38,-51.38257307,64.13299419,certain
38.01,-51.38253615,64.13301171,certain
38.02,-51.38251598,64.13302215,certain
38.03,-51.38255777,64.1330228,certain
39,-51.38250611,64.13302489,certain
39.01,-51.38247871,64.13303832,certain
39.02,-51.38245163,64.13305136,certain
39.03,-51.38242546,64.13306372,certain
39.04,-51.38240068,64.13307636,certain
39.05,-51.38237354,64.1330898,likely
39.06,-51.38228734,64.133132,likely
39.07,-51.38225995,64.13314542,likely
39.08,-51.38223255,64.13315883,likely
39.09,-51.3822052,64.13317222,likely
39.1,-51.38217783,64.13318562,likely
40,-51.38215048,64.13319902,likely
41,-51.3816075,64.13346486,likely
41.01,-51.38158015,64.13347826,likely
41.02,-51.38155276,64.13349167,likely
41.03,-51.38152528,64.13350512,likely
41.04,-51.38149873,64.13351888,certain
41.05,-51.38147301,64.13353102,certain
41.06,-51.38144581,64.13354444,likely
41.07,-51.38158311,64.13350361,uncertain
